,mood,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo
2973,fitness,5qEDMy4lkVZ93et8y1VP99,0.623,0.872,11,-3.773,0,0.147,0.0097,0,0.355,105.147
2974,fitness,6xzlpzqK1CTBytm8lnUOF5,0.784,0.873,8,-4.621,1,0.0405,0.0379,0,0.88,129.981
2975,fitness,3FeMpPPhGRKieT8zmlJDQz,0.698,0.865,4,-4.083,0,0.0418,0.0316,0,0.969,130.004
2976,fitness,57kxLwO0jcs0g67of7haMs,0.743,0.953,4,-4.601,1,0.0361,0.00153,0.0998,0.536,125.991
2977,fitness,3otunM6dtFJjpYyOms8vLT,0.882,0.881,11,-3.041,0,0.117,0.267,2.48e-05,0.887,129.031
2978,fitness,6VxoFAtQwhwk5B6VaCsjiY,0.803,0.904,6,-4.537,0,0.068,0.0506,0,0.911,111.923
2979,fitness,7vpXKawR8GEUAz6FYPhbbO,0.872,0.897,1,-3.328,1,0.161,0.0564,1.79e-05,0.75,130.0
2980,fitness,4ogLWrfrEtmQf4vvHyVSUt,0.745,0.862,7,-6.717,0,0.0401,0.0189,0.00112,0.64,127.985
2981,fitness,6FeTled691bl3j2Npf7oo8,0.715,0.942,8,-2.889,1,0.107,0.00175,0.000461,0.818,130.019
2982,fitness,5DoQM2iQ0uxvl6Jnnzde0B,0.746,0.628,8,-6.817,1,0.118,0.306,0,0.617,93.994
2983,fitness,3wEPxRNvJanBw9kDeTqf28,0.775,0.571,8,-6.684,0,0.178,0.367,1.89e-05,0.544,90.008
2984,fitness,6LAtjj0Eg0RFC1I0RGehgX,0.735,0.976,11,-2.193,1,0.0651,0.117,0.000245,0.861,100.02
2985,fitness,6U2NuJILEOEpW2tVCuqKHb,0.772,0.803,1,-3.035,1,0.0468,0.188,0,0.853,94.981
2986,fitness,6tmrkVeTxl21cK1RODMP6s,0.845,0.604,0,-6.929,0,0.104,0.0414,0,0.889,127.998
2987,fitness,0KoiMHhqKLoL4xM54rcWYY,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.617,95.881
2988,fitness,0gVw6jyHCt2ykB1Wt80RmP,0.677,0.934,11,-3.674,0,0.14,0.25,1.77e-06,0.809,127.017
2989,fitness,7yEM9hYRsw9R3pJB5W0gxb,0.775,0.941,0,-3.016,1,0.182,0.00106,0.0174,0.362,127.997
2990,fitness,7FnHUsFRTMg8VYteFKj3xL,0.641,0.837,4,-3.356,1,0.368,0.0481,0,0.523,211.974
2991,fitness,0Xj7CM7QKf4DVIpdjHDrVe,0.854,0.937,11,-2.792,1,0.0336,0.0167,0.000944,0.933,128.01
2992,fitness,3SDvcxPcU7BlV1dAne4dWM,0.67,0.865,0,-2.469,1,0.035,0.0164,7.4e-06,0.671,97.008
2993,fitness,0Rpn4RPsQoviQlLK2Nu7k9,0.773,0.863,11,-4.455,0,0.0471,0.00267,0.0287,0.414,127.982
2994,fitness,1bfWagldGibbDr6kOA5Bjn,0.564,0.909,11,-4.616,0,0.247,0.0142,0.000126,0.714,127.819
